CustomerID,Age,Gender,Region,Tenure_months,AnnualIncome_k,MonthlySpend_k,NumPurchases
C184,20,Male,West,24,344,18.1,11
C185,48,Male,East,6,3500,176.1,6
C186,31,Male,West,53,279,9.8,9
C187,48,Female,North,46,198,9.9,9
C188,32,Female,East,56,367,17.4,10
C189,55,Male,East,10,271,29.3,4
C190,23,Male,East,32,539,25.8,11
C191,34,Female,North,36,678,29.6,11
C192,63,Male,South,6,195,11.4,11
C193,54,Female,East,39,515,38.2,8
C194,58,Female,East,49,3200,158.1,5
C195,24,Female,North,9,860,44.4,4
C196,38,Male,West,37,672,25.7,13
C197,28,Female,West,20,209,15.9,12
C198,21,Male,North,19,762,43.1,4
C199,54,Female,North,53,902,52.8,11
C200,36,Female,South,7,337,21,5
